#,Name,Tags,Type,Zone,Address,User,HIP Profile,Zone,Address,Application,Service,Action,Profile,Options,
1,Concord1_Inbound,Concord Outside Inbound,interzone,Outside,any,any,any,Staging_CSC_LAN,Concord1,Concord1_Protocols,application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
2,CSL_Inbound,"CSL
Outside
Inbound",interzone,Outside,"Incapsula_WAF
No_WAF",any,any,Staging_Prod_DMZ,CSL.com,Web_Traffic,application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
4,MAI_Inbound,"MAI
Outside
Inbound",interzone,Outside,"No_WAF
Incapsula_WAF
Summerbay_Users
Sundance_Users
Welk_Users",any,any,Staging_Prod_DMZ,MAI.com,Web_Traffic,application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
8,Presentation_to_PHXV,,interzone,Staging_Prod_DMZ,Presentation_Hosts,any,any,Staging_CSC_LAN,PHXV,PHXV_Protocols,application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
9,Presentation_to_SQLIOS,,interzone,Staging_Prod_DMZ,Presentation_Hosts,any,any,Staging_CSC_LAN,SQLIOS,SQLIOS_Protocols,application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
57,WSPCIDATA_Access,,interzone,Outside,any,"Staging_Server_Admin
Staging_Dev_Access
Staging_QA_Access",any,Staging_PCI_Data,"WSPCIDATA1
servicespci.concordsoftwareleasing.com","SSH
SSL",application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
58,WSPCIDMZ_Access,,interzone,Outside,any,"Staging_Server_Admin
Staging_Dev_Access
Staging_QA_Access",any,Staging_PCI_DMZ,"WSPCIDMZ1
CSL.com_PCIDMZ","SSH
SSL",application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
60,SessionState_Access,,interzone,Outside,any,Staging_SessionState_Access,any,Staging_Prod_DMZ,SessionState,mssql-db,application-default,allow,none,"traffic log sent at session end
log forwarding profile: Alienvault",
